image_name,crowd_counting
Indoor_EXCO064_244.jpg,36
Indoor_EXCO064_060.jpg,19
Indoor_EXCO064_092.jpg,23
Indoor_EXCO064_151.jpg,28
Indoor_EXCO064_163.jpg,20
Indoor_EXCO064_093.jpg,22
Indoor_EXCO064_305.jpg,38
Indoor_EXCO064_583.jpg,42
Indoor_EXCO064_085.jpg,18
Indoor_EXCO064_030.jpg,21
Indoor_EXCO064_127.jpg,25
Indoor_EXCO064_295.jpg,43
Indoor_EXCO064_033.jpg,22
Indoor_EXCO064_109.jpg,23
Indoor_EXCO064_219.jpg,25
Indoor_EXCO064_341.jpg,26
Indoor_EXCO064_570.jpg,37
Indoor_EXCO064_268.jpg,43
Indoor_EXCO064_008.jpg,32
Indoor_EXCO064_088.jpg,19
Indoor_EXCO064_225.jpg,28
Indoor_EXCO064_214.jpg,27
Indoor_EXCO064_238.jpg,32
Indoor_EXCO064_182.jpg,25
Indoor_EXCO064_601.jpg,46
Indoor_EXCO064_288.jpg,41
Indoor_EXCO064_567.jpg,44
Indoor_EXCO064_396.jpg,21
Indoor_EXCO064_169.jpg,19
Indoor_EXCO064_006.jpg,34
Indoor_EXCO064_149.jpg,27
Indoor_EXCO064_508.jpg,33
Indoor_EXCO064_321.jpg,29
Indoor_EXCO064_326.jpg,25
Indoor_EXCO064_265.jpg,45
Indoor_EXCO064_459.jpg,23
Indoor_EXCO064_176.jpg,21
Indoor_EXCO064_278.jpg,44
Indoor_EXCO064_171.jpg,18
Indoor_EXCO064_313.jpg,36
Indoor_EXCO064_388.jpg,25
Indoor_EXCO064_523.jpg,27
Indoor_EXCO064_572.jpg,40
Indoor_EXCO064_417.jpg,23
Indoor_EXCO064_524.jpg,28
Indoor_EXCO064_117.jpg,27
Indoor_EXCO064_338.jpg,26
Indoor_EXCO064_339.jpg,28
Indoor_EXCO064_327.jpg,24
Indoor_EXCO064_400.jpg,21
Indoor_EXCO064_373.jpg,36
Indoor_EXCO064_414.jpg,28
Indoor_EXCO064_301.jpg,42
Indoor_EXCO064_463.jpg,21
Indoor_EXCO064_497.jpg,29
Indoor_EXCO064_398.jpg,21
Indoor_EXCO064_348.jpg,31
Indoor_EXCO064_581.jpg,42
Indoor_EXCO064_568.jpg,39
